dataset,view,index,coop,n_sandboxes,n_decisions
replication,A_all_games,9,0.360376813298318,24,5189
replication,A_all_games,10,0.3664132578753554,24,5022
replication,A_all_games,11,0.3728307845044803,24,4878
replication,A_all_games,12,0.36292607764574436,24,4737
replication,A_all_games,13,0.36992766838509805,24,4607
replication,A_all_games,14,0.360947343435644,24,4438
replication,A_all_games,15,0.3726703839570264,24,4296
replication,A_all_games,16,0.3683940301478799,24,4166
replication,A_all_games,17,0.35679134063475987,24,4046
replication,A_all_games,18,0.36113995242159797,24,3913
replication,A_all_games,19,0.3602261183007826,24,3800
replication,A_all_games,20,0.3631195402171941,24,3693
replication,A_all_games,21,0.3711708059654875,24,3566
replication,A_all_games,22,0.371219837259576,24,3467
replication,A_all_games,23,0.38307877260959095,24,3365
replication,A_all_games,24,0.3883012438417883,24,3235
replication,A_all_games,25,0.37906912358955697,24,3136
replication,A_all_games,26,0.38168933372261565,24,3043
replication,A_all_games,27,0.38579807442522984,24,2948
replication,A_all_games,28,0.37784339542674855,24,2853
replication,A_all_games,29,0.37498796426250797,24,2772
replication,A_all_games,30,0.3776326710415123,24,2691
replication,B_reached_30,1,0.5482128538443736,24,2691
replication,B_reached_30,2,0.43808600278510496,24,2691
replication,B_reached_30,3,0.4222878068116245,24,2691
replication,B_reached_30,4,0.38525257075614744,24,2691
replication,B_reached_30,5,0.37457556195521313,24,2691
replication,B_reached_30,6,0.3655000038283442,24,2691
replication,B_reached_30,7,0.3523754854726893,24,2691
replication,B_reached_30,8,0.3613523867929455,24,2691
replication,B_reached_30,9,0.34890400360319757,24,2691
replication,B_reached_30,10,0.3627680073267381,24,2691
replication,B_reached_30,11,0.35912031263533745,24,2691
replication,B_reached_30,12,0.3586591326523769,24,2691
replication,B_reached_30,13,0.35776708144549224,24,2691
replication,B_reached_30,14,0.3425318241681818,24,2691
replication,B_reached_30,15,0.3545209284682451,24,2691
replication,B_reached_30,16,0.35701249785914085,24,2691
replication,B_reached_30,17,0.3442668689392356,24,2691
replication,B_reached_30,18,0.353640026247612,24,2691
replication,B_reached_30,19,0.34777790770731554,24,2691
replication,B_reached_30,20,0.34978452810612864,24,2691
replication,B_reached_30,21,0.35787260052290687,24,2691
replication,B_reached_30,22,0.3651740094949849,24,2691
replication,B_reached_30,23,0.3705571921043979,24,2691
replication,B_reached_30,24,0.3815006044573474,24,2691
replication,B_reached_30,25,0.37020527142537146,24,2691
replication,B_reached_30,26,0.3784213976342137,24,2691
replication,B_reached_30,27,0.38029152206621025,24,2691
replication,B_reached_30,28,0.3759266551575118,24,2691
replication,B_reached_30,29,0.3736143384931965,24,2691
replication,B_reached_30,30,0.3776326710415123,24,2691
replication,C_from_end,0,0.390702686977679,24,6622
replication,C_from_end,1,0.38938341557580197,24,6417
replication,C_from_end,2,0.3934699510979067,24,6243
replication,C_from_end,3,0.39137067396688563,24,6055
replication,C_from_end,4,0.38974126843994505,24,5872
replication,C_from_end,5,0.38324279685028007,24,5674
replication,C_from_end,6,0.38993665411971357,24,5501
replication,C_from_end,7,0.38274023192711987,24,5353
replication,C_from_end,8,0.382678792746974,24,5189
replication,C_from_end,9,0.37627423830422674,24,5022
replication,C_from_end,10,0.36894710967492267,24,4878
replication,C_from_end,11,0.3715104767705508,24,4737
replication,C_from_end,12,0.3731987635490605,24,4607
replication,C_from_end,13,0.3702500100440205,24,4438
replication,C_from_end,14,0.3728831487765318,24,4296
replication,C_from_end,15,0.3701976449994988,24,4166
replication,C_from_end,16,0.3632367208693172,24,4046
replication,C_from_end,17,0.374839440464599,24,3913
replication,C_from_end,18,0.37385298692107716,24,3800
replication,C_from_end,19,0.3725838461390048,24,3693
replication,C_from_end,20,0.3778442441427338,24,3566
replication,C_from_end,21,0.3691935101446852,24,3467
replication,C_from_end,22,0.3814073452936538,24,3365
replication,C_from_end,23,0.373703755438419,24,3235
replication,C_from_end,24,0.38229686323940504,24,3136
replication,C_from_end,25,0.3844700168199138,24,3043
replication,C_from_end,26,0.3925480672872797,24,2948
replication,C_from_end,27,0.4259563090265949,24,2853
replication,C_from_end,28,0.4424503652266692,24,2772
replication,C_from_end,29,0.5482128538443736,24,2691
