model,condition,unit,variant,contrast,k,mean_pp,positive,negative,raw_p,min_pp,max_pp
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,read,A,6,-5.623876018195284,0,6,0.03125,-7.971014492753625,-3.6231884057971064
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,read,B,6,0.06038647342995196,1,0,1.0,0.0,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,reported_final,A,6,-5.684262491625236,0,6,0.03125,-7.971014492753625,-3.6231884057971064
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,reported_final,B,6,0.06038647342995196,1,0,1.0,0.0,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,round1,A,6,-58.44749462251843,0,6,0.03125,-81.88405797101449,-43.07627208293664
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,agent_game,round1,B,6,0.12077294685990392,2,2,0.875,-0.36231884057971175,1.0869565217391353
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,any,A,6,-4.368876737297792,0,6,0.03125,-8.0952380952381,-2.857142857142858
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,any,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,decoy,A,6,-3.733956102377158,0,6,0.03125,-7.142857142857151,-1.4285714285714346
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,decoy,B,6,0.39682539682539725,3,1,0.375,-0.4761904761904745,1.4285714285714235
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,final,A,6,-4.368876737297792,0,6,0.03125,-8.0952380952381,-2.857142857142858
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,final,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,post,A,6,-5.894660894660891,2,3,0.25,-18.225108225108222,1.904761904761909
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,post,B,6,-2.6190476190476173,3,3,0.46875,-13.809523809523805,3.3333333333333326
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,read,A,6,-4.368876737297792,0,6,0.03125,-8.0952380952381,-2.857142857142858
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,read,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,reported_final,A,6,-4.368876737297792,0,6,0.03125,-8.0952380952381,-2.857142857142858
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,reported_final,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,round1,A,6,-52.093491304017626,0,6,0.03125,-77.61904761904762,-35.894281157439046
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,game,round1,B,6,-0.15873015873015817,0,1,1.0,-0.952380952380949,0.0
