baseline,seed,seat,seat_type,total_score,rounds,score_per_round
TitForTat,19,10,SEAT,1434,513,2.7953216374269005
TitForTat,19,11,SEAT,1302,481,2.7068607068607067
TitForTat,19,12,TitForTat,1359,500,2.718
TitForTat,19,13,TitForTat,1354,498,2.718875502008032
TitForTat,19,14,TitForTat,1329,484,2.7458677685950414
TitForTat,19,15,TitForTat,1281,455,2.8153846153846156
TitForTat,19,16,Grudger,1437,509,2.8231827111984282
TitForTat,19,17,Grudger,1386,482,2.87551867219917
TitForTat,19,18,AlwaysDefect,661,473,1.397463002114165
TitForTat,19,19,AlwaysDefect,663,467,1.4197002141327624
TitForTat,19,20,Random,959,430,2.230232558139535
TitForTat,19,21,Random,878,421,2.0855106888361044
TitForTat,19,22,Pavlov,1202,425,2.828235294117647
TitForTat,19,23,Pavlov,1126,430,2.6186046511627907
TitForTat,20,0,SEAT,1044,390,2.6769230769230767
TitForTat,20,1,SEAT,1217,419,2.9045346062052504
TitForTat,20,2,SEAT,1369,505,2.710891089108911
TitForTat,20,3,SEAT,1286,453,2.8388520971302427
TitForTat,20,4,SEAT,1313,478,2.7468619246861925
TitForTat,20,5,SEAT,1212,455,2.6637362637362636
TitForTat,20,6,SEAT,1145,409,2.7995110024449876
TitForTat,20,7,SEAT,1305,468,2.7884615384615383
TitForTat,20,8,SEAT,1134,424,2.6745283018867925
TitForTat,20,9,SEAT,1276,469,2.720682302771855
TitForTat,20,10,SEAT,1321,480,2.752083333333333
TitForTat,20,11,SEAT,1312,462,2.83982683982684
TitForTat,20,12,TitForTat,1150,436,2.6376146788990824
TitForTat,20,13,TitForTat,1347,486,2.771604938271605
TitForTat,20,14,TitForTat,1446,508,2.8464566929133857
TitForTat,20,15,TitForTat,1137,414,2.746376811594203
TitForTat,20,16,Grudger,1268,452,2.8053097345132745
TitForTat,20,17,Grudger,1229,455,2.7010989010989013
TitForTat,20,18,AlwaysDefect,626,446,1.4035874439461884
TitForTat,20,19,AlwaysDefect,687,455,1.5098901098901099
TitForTat,20,20,Random,941,446,2.109865470852018
TitForTat,20,21,Random,940,446,2.10762331838565
TitForTat,20,22,Pavlov,1170,432,2.7083333333333335
TitForTat,20,23,Pavlov,1441,498,2.893574297188755
Random,1,0,SEAT,1077,520,2.0711538461538463
Random,1,1,SEAT,969,444,2.1824324324324325
Random,1,2,SEAT,969,500,1.938
Random,1,3,SEAT,976,482,2.024896265560166
