model,condition,effort,state,block,wording,sandbox,agent,games_played,games_with_board_attempt,attempted_reads,attempted_posts,attempted_board_calls,first_attempt_game,first_attempt_round,share_of_sandbox_board_calls
DeepSeek,hidden,off,ahead,B6,p3,B6-hidden-off-ahead,A23,23,23,370,66,436,6.0,1.0,0.07518537678910157
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A01,23,23,297,36,333,22.0,1.0,0.0705060343002329
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A02,23,23,280,39,319,2.0,1.0,0.06754181664196485
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A03,23,23,372,58,430,6.0,1.0,0.09104382807537582
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A05,23,23,286,54,340,17.0,1.0,0.07198814312936692
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A11,23,23,345,58,403,3.0,1.0,0.08532712259157316
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A14,23,23,323,42,365,13.0,1.0,0.07728138894770273
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A15,23,23,316,48,364,4.0,1.0,0.0770696591149693
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A17,23,23,359,55,414,9.0,1.0,0.0876561507516409
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A19,23,23,330,48,378,18.0,1.0,0.08003387677323735
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A20,23,23,348,54,402,39.0,1.0,0.08511539275883973
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A22,23,23,427,73,500,11.0,1.0,0.10586491636671606
DeepSeek,hidden,off,behind,B6,p3,B6-hidden-off-behind,A23,23,23,404,71,475,8.0,1.0,0.10057167054838027
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A00,23,23,236,104,340,7.0,1.0,0.06134969325153374
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A02,23,23,319,150,469,3.0,1.0,0.08462648863226271
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A05,23,23,337,165,502,9.0,1.0,0.09058101768314687
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A06,23,23,344,148,492,2.0,1.0,0.0887766149404547
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A08,23,23,353,176,529,14.0,2.0,0.09545290508841574
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A10,23,23,308,146,454,8.0,1.0,0.08191988451822446
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A11,23,22,267,108,375,28.0,1.0,0.06766510285095634
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A12,23,23,345,172,517,12.0,1.0,0.09328762179718514
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A15,23,23,330,157,487,2.0,1.0,0.08787441356910862
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A16,23,23,315,142,457,30.0,1.0,0.08246120534103211
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A21,23,23,305,139,444,6.0,1.0,0.0801154817755323
DeepSeek,permitted,high,behind,B6,p3,B6-permitted-high-behind,A23,23,23,322,154,476,3.0,1.0,0.08588957055214724
