sandbox,quarter,model,effort,condition,state,block,board_size_at_read,read_rate,post_rate
B5-hidden-high-behind,1,DeepSeek,high,hidden,behind,B5,42.01960784313726,0.2625,0.08308823529411764
B5-hidden-high-behind,2,DeepSeek,high,hidden,behind,B5,253.38481012658227,0.29610194902548725,0.1686656671664168
B5-hidden-high-behind,3,DeepSeek,high,hidden,behind,B5,245.84070796460176,0.25036927621861155,0.08567208271787297
B5-hidden-high-behind,4,DeepSeek,high,hidden,behind,B5,107.58609271523179,0.2301829268292683,0.11966463414634146
B5-hidden-off-ahead,1,DeepSeek,off,hidden,ahead,B5,123.47945205479452,0.9922330097087378,0.23689320388349513
B5-hidden-off-ahead,2,DeepSeek,off,hidden,ahead,B5,348.5080213903743,0.9925690021231423,0.23779193205944799
B5-hidden-off-ahead,3,DeepSeek,off,hidden,ahead,B5,577.7451971688574,0.9959718026183283,0.22658610271903323
B5-hidden-off-ahead,4,DeepSeek,off,hidden,ahead,B5,839.9385416666667,0.9937888198757764,0.3022774327122153
B5-hidden-off-behind,1,DeepSeek,off,hidden,behind,B5,93.29455709711846,0.9873551106427819,0.1886195995785037
B5-hidden-off-behind,2,DeepSeek,off,hidden,behind,B5,285.0863787375415,0.9944933920704846,0.2433920704845815
B5-hidden-off-behind,3,DeepSeek,off,hidden,behind,B5,511.7513631406761,0.9989106753812637,0.23093681917211328
B5-hidden-off-behind,4,DeepSeek,off,hidden,behind,B5,701.5640176600441,0.9977973568281938,0.197136563876652
B5-permitted-high-behind,1,DeepSeek,high,permitted,behind,B5,191.31422924901185,0.7096774193548387,0.2903225806451613
B5-permitted-high-behind,2,DeepSeek,high,permitted,behind,B5,670.7775571002979,0.7032122905027933,0.34916201117318435
B5-permitted-high-behind,3,DeepSeek,high,permitted,behind,B5,813.0612244897959,0.651048951048951,0.23076923076923078
B5-permitted-high-behind,4,DeepSeek,high,permitted,behind,B5,255.7742946708464,0.6835714285714286,0.2864285714285714
B5-permitted-off-ahead,1,DeepSeek,off,permitted,ahead,B5,131.41227229146693,0.994280266920877,0.2259294566253575
B5-permitted-off-ahead,2,DeepSeek,off,permitted,ahead,B5,364.35607476635516,0.9990662931839402,0.24183006535947713
B5-permitted-off-ahead,3,DeepSeek,off,permitted,ahead,B5,640.467583497053,0.9970617042115573,0.2683643486777669
