sandbox,sandbox_model,condition,effort,score_state,paraphrase,seat_type,total_score,score_per_round,rounds,coop,n_games,dataset
B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,Grudger,1132.0,2.4218888070692195,466.5,0.6313305412371134,23.0,prereg
B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,LLM,1045.6666666666667,2.43993204327461,429.25,0.6557615153148745,23.0,prereg
B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,Pavlov,979.0,2.274789172645083,430.5,0.8237054603470919,23.0,prereg
B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,Random,769.5,1.683307552690685,457.0,0.5175228553777782,23.0,prereg
B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,TitForTat,1162.0,2.530998855251391,458.75,0.7665573655451707,23.0,prereg
B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,AlwaysDefect,609.0,1.5688759278897135,389.0,0.0,23.0,prereg
B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,Grudger,1034.5,2.3216184929276853,449.0,0.5512736368287503,23.0,prereg
B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,LLM,920.1666666666666,2.0823500751064543,441.25,0.4474804010606493,23.0,prereg
B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,Pavlov,1046.0,2.3127620071334345,453.5,0.8058288952948649,23.0,prereg
B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,Random,711.0,1.5650671785028791,463.0,0.5160422738797659,23.0,prereg
B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,TitForTat,969.5,2.3692520434355018,410.5,0.7020014798174227,23.0,prereg
B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,AlwaysDefect,818.5,1.6233899239768386,504.5,0.0,23.0,prereg
B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,Grudger,830.5,2.1228754683682673,391.0,0.37136582442692795,23.0,prereg
B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,LLM,880.0,1.9417740011835682,454.0833333333333,0.33918219976637193,23.0,prereg
B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,Pavlov,1001.0,2.1306636436334556,469.5,0.7630266075388026,23.0,prereg
B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,Random,754.5,1.4164376441773703,532.5,0.4983179306809444,23.0,prereg
B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,TitForTat,1055.75,2.349123422332487,450.0,0.6571259623525706,23.0,prereg
B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,AlwaysDefect,866.0,1.8118918493033762,478.0,0.0,23.0,prereg
B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,Grudger,1121.0,2.5260836210203297,446.0,0.6538620717501464,23.0,prereg
B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,LLM,1120.5,2.2896850351713796,489.1666666666667,0.6171940814678438,23.0,prereg
B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,Pavlov,1301.0,2.424609439920226,537.5,0.8240229073181542,23.0,prereg
B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,Random,1124.0,2.0695501730103807,544.0,0.5215686274509803,23.0,prereg
B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,TitForTat,1145.0,2.4726090588338896,464.25,0.7302549839628917,23.0,prereg
