dataset,sandbox,path,disposition,prov_sha,prov_bytes,prov_lines,inv_sha,inv_bytes,inv_lines,disk_sha,disk_bytes,prov_vs_inv,prov_vs_disk,inv_vs_disk
prereg,B4-hidden-off-ahead,runs/v3/B4-hidden-off-ahead/moves.jsonl,included,93b8256f3cb702fd97955371866a2d3929547aa58238a23362a7fc46070b1f9f,41477481,12368,93b8256f3cb702fd97955371866a2d3929547aa58238a23362a7fc46070b1f9f,41477481,12368,93b8256f3cb702fd97955371866a2d3929547aa58238a23362a7fc46070b1f9f,41477481,OK,OK,OK
prereg,B4-hidden-off-behind,runs/v3/B4-hidden-off-behind/moves.jsonl,included,f9d8426817f9d9f3a8054a127598fbcb9326418802e9b1b8d53b0b2db363e745,46490490,12023,f9d8426817f9d9f3a8054a127598fbcb9326418802e9b1b8d53b0b2db363e745,46490490,12023,f9d8426817f9d9f3a8054a127598fbcb9326418802e9b1b8d53b0b2db363e745,46490490,OK,OK,OK
prereg,B4-permitted-high-behind,runs/v3/B4-permitted-high-behind/moves.jsonl,included,43fdc734f0eead87f8ce6c194326f41c03ede670da2f7097402dbbb787504913,94647100,11349,43fdc734f0eead87f8ce6c194326f41c03ede670da2f7097402dbbb787504913,94647100,11349,43fdc734f0eead87f8ce6c194326f41c03ede670da2f7097402dbbb787504913,94647100,OK,OK,OK
prereg,B4-permitted-off-ahead,runs/v3/B4-permitted-off-ahead/moves.jsonl,included,cd393d8683c3dc5b859a6d274b5d3604e5757864b5b982839fcfa6c767a3f0b3,47106046,12867,cd393d8683c3dc5b859a6d274b5d3604e5757864b5b982839fcfa6c767a3f0b3,47106046,12867,cd393d8683c3dc5b859a6d274b5d3604e5757864b5b982839fcfa6c767a3f0b3,47106046,OK,OK,OK
prereg,B4-permitted-off-behind,runs/v3/B4-permitted-off-behind/moves.jsonl,included,aced7107a0007fffa99ab7fa90b4e9579c25d3cb736463bbb4fd0625e2b13d07,49217480,12572,aced7107a0007fffa99ab7fa90b4e9579c25d3cb736463bbb4fd0625e2b13d07,49217480,12572,aced7107a0007fffa99ab7fa90b4e9579c25d3cb736463bbb4fd0625e2b13d07,49217480,OK,OK,OK
prereg,B5-forbidden-high-behind,runs/v3/B5-forbidden-high-behind/moves.jsonl,included,5cdc830f82234fe84a469418396f30f1ea8e9473a680d6abc7851bbacb4f8424,62787072,12248,5cdc830f82234fe84a469418396f30f1ea8e9473a680d6abc7851bbacb4f8424,62787072,12248,5cdc830f82234fe84a469418396f30f1ea8e9473a680d6abc7851bbacb4f8424,62787072,OK,OK,OK
prereg,B5-forbidden-off-ahead,runs/v3/B5-forbidden-off-ahead/moves.jsonl,included,cea2e5474a58018736ced63ebf6ff5187c651303a3595451e29569eb4ad53795,31669639,12063,cea2e5474a58018736ced63ebf6ff5187c651303a3595451e29569eb4ad53795,31669639,12063,cea2e5474a58018736ced63ebf6ff5187c651303a3595451e29569eb4ad53795,31669639,OK,OK,OK
prereg,B5-forbidden-off-behind,runs/v3/B5-forbidden-off-behind/moves.jsonl,included,1ab4c77ea736d4c594c893f8cb00a53cced45684065220b71a3e3f4ddf852071,34498196,12658,1ab4c77ea736d4c594c893f8cb00a53cced45684065220b71a3e3f4ddf852071,34498196,12658,1ab4c77ea736d4c594c893f8cb00a53cced45684065220b71a3e3f4ddf852071,34498196,OK,OK,OK
prereg,B5-hidden-high-behind,runs/v3/B5-hidden-high-behind/moves.jsonl,included,ac1d6f5296209538d8e3255baba3cd6c199c91f589a71976b27c400aa777c552,66244295,10244,ac1d6f5296209538d8e3255baba3cd6c199c91f589a71976b27c400aa777c552,66244295,10244,ac1d6f5296209538d8e3255baba3cd6c199c91f589a71976b27c400aa777c552,66244295,OK,OK,OK
prereg,B5-hidden-off-ahead,runs/v3/B5-hidden-off-ahead/moves.jsonl,included,b586633ac3e9bd4e9564a397d6afc34a44dbcfa051548569678db2069b89ea0e,44664905,11214,b586633ac3e9bd4e9564a397d6afc34a44dbcfa051548569678db2069b89ea0e,44664905,11214,b586633ac3e9bd4e9564a397d6afc34a44dbcfa051548569678db2069b89ea0e,44664905,OK,OK,OK
prereg,B5-hidden-off-behind,runs/v3/B5-hidden-off-behind/moves.jsonl,included,ac11043165784faf153c1722b3ed68306996c774ec3519ec3c9c8abd74afd9bd,45479494,10839,ac11043165784faf153c1722b3ed68306996c774ec3519ec3c9c8abd74afd9bd,45479494,10839,ac11043165784faf153c1722b3ed68306996c774ec3519ec3c9c8abd74afd9bd,45479494,OK,OK,OK
prereg,B5-permitted-high-behind,runs/v3/B5-permitted-high-behind/moves.jsonl,included,b9a0d3ddc90d55fc0235985a6c71ee8aa24c02a467a0e1797835421d6cecdd58,91230857,10876,b9a0d3ddc90d55fc0235985a6c71ee8aa24c02a467a0e1797835421d6cecdd58,91230857,10876,b9a0d3ddc90d55fc0235985a6c71ee8aa24c02a467a0e1797835421d6cecdd58,91230857,OK,OK,OK
prereg,B5-permitted-off-ahead,runs/v3/B5-permitted-off-ahead/moves.jsonl,included,6dd8d430074bf43ed88091396d842f6e5ce9497b6120538ea572f05b51450aba,45858810,11258,6dd8d430074bf43ed88091396d842f6e5ce9497b6120538ea572f05b51450aba,45858810,11258,6dd8d430074bf43ed88091396d842f6e5ce9497b6120538ea572f05b51450aba,45858810,OK,OK,OK
prereg,B5-permitted-off-behind,runs/v3/B5-permitted-off-behind/moves.jsonl,included,0a68be00dfe2ee8ff48b66fb04a54c7701ab5d65d8d1fce3a274f1ef3acf63fb,42669069,10280,0a68be00dfe2ee8ff48b66fb04a54c7701ab5d65d8d1fce3a274f1ef3acf63fb,42669069,10280,0a68be00dfe2ee8ff48b66fb04a54c7701ab5d65d8d1fce3a274f1ef3acf63fb,42669069,OK,OK,OK
prereg,B6-hidden-off-ahead,runs/v3/B6-hidden-off-ahead/moves.jsonl,included,a5f7ddb576b6c6faf0b094d027dddb429128c9708a8e1ea432367d92692c7c6c,52469345,11765,a5f7ddb576b6c6faf0b094d027dddb429128c9708a8e1ea432367d92692c7c6c,52469345,11765,a5f7ddb576b6c6faf0b094d027dddb429128c9708a8e1ea432367d92692c7c6c,52469345,OK,OK,OK
prereg,B6-forbidden-high-behind,runs/v3b/B6-forbidden-high-behind/moves.jsonl,included,bc47a96d5a29ef9e8d7ed14bd6f612b092d077778017917b5f8fa967ed20f126,53034011,10813,bc47a96d5a29ef9e8d7ed14bd6f612b092d077778017917b5f8fa967ed20f126,53034011,10813,bc47a96d5a29ef9e8d7ed14bd6f612b092d077778017917b5f8fa967ed20f126,53034011,OK,OK,OK
prereg,B6-forbidden-off-ahead,runs/v3b/B6-forbidden-off-ahead/moves.jsonl,included,cf096df91f24f569238f8f284d39a5b47f5c0621bdba9d7a70074d8c250dfbdf,33533572,12971,cf096df91f24f569238f8f284d39a5b47f5c0621bdba9d7a70074d8c250dfbdf,33533572,12971,cf096df91f24f569238f8f284d39a5b47f5c0621bdba9d7a70074d8c250dfbdf,33533572,OK,OK,OK
prereg,B6-forbidden-off-behind,runs/v3b/B6-forbidden-off-behind/moves.jsonl,included,a4b078aed3906df3509e010cb60adf263a6eecc98022bae5f02d0821cb599906,35193372,13041,a4b078aed3906df3509e010cb60adf263a6eecc98022bae5f02d0821cb599906,35193372,13041,a4b078aed3906df3509e010cb60adf263a6eecc98022bae5f02d0821cb599906,35193372,OK,OK,OK
