contrast,opponent_type,outcome,mean_diff,n_pos,k,p_exact_signflip,mean_A,mean_B,per_block_A,per_block_B
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,forgiveness_rate,-0.10082326399484887,0,6,0.03125,0.2846368825307329,0.3854601465255818,0.266;0.369;0.266;0.344;0.241;0.222,0.427;0.380;0.308;0.351;0.427;0.420
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,mutual_D,0.05605473942861563,3,6,0.5,0.4840631167678064,0.4280083773391908,0.408;0.214;0.573;0.432;0.652;0.626,0.469;0.430;0.444;0.442;0.384;0.400
"Q5x permitted - forbidden (off, behind, DeepSeek)",all,nice,0.006686589795126777,3,6,1.0,0.4040295849642089,0.39734299516908206,0.569;0.826;0.332;0.493;0.073;0.131,0.435;0.446;0.475;0.431;0.322;0.275
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,own_coop_played,-0.12368835489419357,1,6,0.09375,0.3060631048560685,0.42975145975026213,0.365;0.579;0.191;0.264;0.246;0.191,0.416;0.437;0.451;0.440;0.424;0.411
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,spr,-0.4624642902168463,1,6,0.09375,1.5594844792019902,2.0219487694188363,1.870;2.218;1.349;1.695;1.189;1.037,1.983;2.089;1.995;2.054;2.014;1.996
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,opp_spr,-0.5889268967986248,1,6,0.09375,1.3706907265617057,1.9596176233603304,1.684;2.214;1.120;1.479;0.914;0.813,1.901;1.952;1.986;1.962;1.992;1.965
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,round1_coop,-0.17693236714975846,1,6,0.0625,0.4716183574879227,0.6485507246376812,0.674;0.899;0.308;0.471;0.268;0.210,0.779;0.826;0.616;0.580;0.543;0.547
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,retaliation_rate,0.12340493775177226,6,6,0.03125,0.8686839665739804,0.7452790288222081,0.937;0.858;0.880;0.903;0.815;0.818,0.788;0.756;0.772;0.759;0.692;0.705
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,forgiveness_rate,-0.12060216740712243,0,6,0.03125,0.2648579791184594,0.3854601465255818,0.241;0.327;0.247;0.236;0.296;0.243,0.427;0.380;0.308;0.351;0.427;0.420
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,mutual_D,0.12133261062852786,5,6,0.09375,0.5493409879677186,0.4280083773391908,0.536;0.342;0.651;0.596;0.561;0.609,0.469;0.430;0.444;0.442;0.384;0.400
"Q5x hidden - forbidden (off, behind, DeepSeek)",all,nice,-0.07971014492753623,2,6,0.3125,0.3176328502415459,0.39734299516908206,0.493;0.652;0.174;0.312;0.159;0.116,0.435;0.446;0.475;0.431;0.322;0.275
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,own_coop_played,-0.11838231121496794,0,6,0.03125,0.4545795664494194,0.5729618776643873,0.680;0.645;0.315;0.523;0.283;0.280,0.680;0.653;0.652;0.616;0.425;0.411
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,spr,-0.39255479776001506,1,6,0.0625,1.7998327361283393,2.1923875338883545,2.430;2.319;1.704;1.889;1.257;1.200,2.476;2.318;2.296;2.253;1.965;1.847
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,opp_spr,-0.593918994832919,0,6,0.03125,1.686953859936575,2.280872854769494,2.357;2.236;1.446;1.849;1.183;1.051,2.436;2.415;2.465;2.365;2.043;1.960
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,round1_coop,-0.1618589501404481,1,6,0.0625,0.5709375165896905,0.7327964667301387,0.888;0.862;0.457;0.728;0.205;0.286,0.880;0.906;0.755;0.746;0.576;0.533
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,retaliation_rate,0.17041655083083837,6,6,0.03125,0.8016517537952851,0.6312352029644467,0.847;0.798;0.879;0.788;0.738;0.761,0.650;0.682;0.581;0.588;0.623;0.663
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,forgiveness_rate,-0.12350795262949914,0,6,0.03125,0.2520494738983969,0.375557426527896,0.266;0.249;0.205;0.286;0.252;0.253,0.389;0.360;0.432;0.381;0.351;0.341
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,mutual_D,0.11801007791659064,6,6,0.03125,0.42360177905054425,0.3055917011339536,0.257;0.283;0.550;0.390;0.527;0.534,0.228;0.276;0.254;0.288;0.378;0.408
"Q5x permitted - forbidden (off, ahead, DeepSeek)",all,nice,-0.06173113444614553,3,6,0.28125,0.4389300313213356,0.5006611657674812,0.754;0.707;0.333;0.551;0.128;0.161,0.652;0.667;0.547;0.514;0.319;0.304
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,own_coop_played,-0.15197545427128015,1,6,0.0625,0.42098642339310716,0.5729618776643873,0.658;0.675;0.401;0.244;0.280;0.268,0.680;0.653;0.652;0.616;0.425;0.411
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,spr,-0.4451368438953736,0,6,0.03125,1.7472506899929805,2.1923875338883545,2.203;2.291;1.892;1.577;1.247;1.272,2.476;2.318;2.296;2.253;1.965;1.847
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,opp_spr,-0.6374073806860422,0,6,0.03125,1.6434654740834516,2.280872854769494,2.196;2.237;1.684;1.326;1.216;1.202,2.436;2.415;2.465;2.365;2.043;1.960
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,round1_coop,-0.21045347156105645,0,6,0.03125,0.5223429951690822,0.7327964667301387,0.870;0.877;0.612;0.413;0.178;0.185,0.880;0.906;0.755;0.746;0.576;0.533
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,retaliation_rate,0.15191540306850634,6,6,0.03125,0.7831506060329531,0.6312352029644467,0.787;0.741;0.840;0.894;0.701;0.737,0.650;0.682;0.581;0.588;0.623;0.663
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,forgiveness_rate,-0.13347446727274923,1,6,0.0625,0.2420829592551468,0.375557426527896,0.255;0.392;0.215;0.127;0.220;0.244,0.389;0.360;0.432;0.381;0.351;0.341
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,mutual_D,0.1496511790862677,5,6,0.0625,0.45524288022022147,0.3055917011339536,0.275;0.255;0.486;0.623;0.536;0.556,0.228;0.276;0.254;0.288;0.378;0.408
"Q5x hidden - forbidden (off, ahead, DeepSeek)",all,nice,-0.1280766247046793,2,6,0.125,0.3725845410628019,0.5006611657674812,0.674;0.674;0.420;0.283;0.094;0.091,0.652;0.667;0.547;0.514;0.319;0.304
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,own_coop_played,-0.054072081910305714,1,6,0.1875,0.15027815178961032,0.20435023369991603,0.208;0.151;0.177;0.101;0.153;0.111,0.123;0.175;0.260;0.174;0.225;0.269
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,spr,0.05407208191030568,5,6,0.1875,0.8497218482103897,0.7956497663000839,0.792;0.849;0.823;0.899;0.847;0.889,0.877;0.825;0.740;0.826;0.775;0.731
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,opp_spr,-0.21628832764122288,1,6,0.1875,1.6011126071584414,1.8174009347996642,1.830;1.605;1.707;1.405;1.614;1.446,1.491;1.699;2.039;1.697;1.900;2.078
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,round1_coop,0.09722222222222222,4,6,0.21875,0.7708333333333334,0.6736111111111112,0.958;0.833;0.625;0.708;0.792;0.708,0.708;0.917;0.708;0.500;0.583;0.625
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,retaliation_rate,0.0722618765668983,6,6,0.03125,0.9276700260443235,0.8554081494774253,0.928;0.928;0.931;0.930;0.930;0.919,0.922;0.909;0.822;0.852;0.845;0.782
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,forgiveness_rate,,0,0,,,,nan;nan;nan;nan;nan;nan,nan;nan;nan;nan;nan;nan
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,mutual_D,0.05407208191030568,5,6,0.1875,0.8497218482103897,0.7956497663000839,0.792;0.849;0.823;0.899;0.847;0.889,0.877;0.825;0.740;0.826;0.775;0.731
"Q6 high - off (forbidden, behind, DeepSeek)",AlwaysDefect,nice,0.09722222222222222,4,6,0.21875,0.7708333333333334,0.6736111111111112,0.958;0.833;0.625;0.708;0.792;0.708,0.708;0.917;0.708;0.500;0.583;0.625
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,own_coop_played,-0.11154291206587956,1,6,0.0625,0.20435023369991603,0.3158931457657956,0.123;0.175;0.260;0.174;0.225;0.269,0.220;0.260;0.396;0.412;0.344;0.264
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,spr,0.11154291206587962,5,6,0.0625,0.7956497663000839,0.6841068542342043,0.877;0.825;0.740;0.826;0.775;0.731,0.780;0.740;0.604;0.588;0.656;0.736
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,opp_spr,-0.44617164826351846,1,6,0.0625,1.8174009347996642,2.263572583063183,1.491;1.699;2.039;1.697;1.900;2.078,1.879;2.039;2.585;2.649;2.374;2.055
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,round1_coop,-0.07638888888888888,1,6,0.1875,0.6736111111111112,0.75,0.708;0.917;0.708;0.500;0.583;0.625,0.833;0.917;0.750;0.667;0.750;0.583
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,retaliation_rate,0.1348855100179164,6,6,0.03125,0.8554081494774253,0.7205226394595088,0.922;0.909;0.822;0.852;0.845;0.782,0.808;0.782;0.663;0.612;0.703;0.754
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,forgiveness_rate,,0,0,,,,nan;nan;nan;nan;nan;nan,nan;nan;nan;nan;nan;nan
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,mutual_D,0.11154291206587962,5,6,0.0625,0.7956497663000839,0.6841068542342043,0.877;0.825;0.740;0.826;0.775;0.731,0.780;0.740;0.604;0.588;0.656;0.736
"Q5 behind - ahead (forbidden, off, DeepSeek)",AlwaysDefect,nice,-0.07638888888888888,1,6,0.1875,0.6736111111111112,0.75,0.708;0.917;0.708;0.500;0.583;0.625,0.833;0.917;0.750;0.667;0.750;0.583
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,own_coop_played,-0.14071597399686453,1,6,0.0625,0.3081273760339803,0.44884335003084486,0.457;0.430;0.220;0.276;0.211;0.255,0.424;0.464;0.566;0.429;0.444;0.366
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,spr,-0.16454388094485936,1,6,0.0625,1.7031314004592577,1.867675281404117,1.783;1.855;1.492;1.924;1.672;1.493,1.978;1.926;2.017;2.106;1.640;1.539
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,opp_spr,-0.31903248991825395,1,6,0.09375,1.7206645990831302,2.0396970890013844,2.104;1.972;1.561;1.549;1.478;1.661,1.916;2.016;2.260;1.828;2.185;2.034
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,round1_coop,0.10416666666666667,3,6,0.3125,0.7361111111111112,0.6319444444444444,0.875;0.792;0.708;0.708;0.458;0.875,0.750;0.833;0.708;0.542;0.542;0.417
