sandbox,dataset,model,condition,effort,score_state,paraphrase,seed,sandbox_complete,eligible_registered,exclusion_reason,abort_rate_per_game,n_games_unobserved_provider_error,generations_used,n_games_llm_involving,n_games_completed,n_games_aborted,n_agent_games,rate_per_game_either,rate_per_game_either_keepall,rate_per_game_either_completed,rate_per_agent_game,decoy_rate_per_game_either,board_calls,decoy_calls,board_over_decoy,coop_rate_llm_own,block_effort,block_state
B3-hidden-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,316,True,True,,0.04285714285714286,1,[0],210,201,9,276,0.9521531100478469,0.9476190476190476,0.9502487562189055,0.9343065693430657,0.9521531100478469,2111,1683,1.2543077837195484,0.27981297187454673,DeepSeek-V4-Flash-0731/hidden/behind/B3,DeepSeek-V4-Flash-0731/hidden/high/B3
B4-hidden-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,416,True,True,,0.004761904761904762,0,[0],210,209,1,276,0.9714285714285714,0.9714285714285714,0.9712918660287081,0.9492753623188406,0.9761904761904762,2230,1774,1.2570462232243518,0.28277962120412364,DeepSeek-V4-Flash-0731/hidden/behind/B4,DeepSeek-V4-Flash-0731/hidden/high/B4
B5-hidden-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p3,516,True,True,,0.004761904761904762,0,[0],210,209,1,276,0.9714285714285714,0.9714285714285714,0.9712918660287081,0.9528985507246377,0.9714285714285714,2079,1436,1.4477715877437325,0.3485021229056552,DeepSeek-V4-Flash-0731/hidden/behind/B5,DeepSeek-V4-Flash-0731/hidden/high/B5
B6-hidden-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p3,616,True,True,,0.004761904761904762,0,[0],210,209,1,276,0.9523809523809523,0.9523809523809523,0.9521531100478469,0.9420289855072463,0.9571428571428572,2049,1382,1.4826338639652676,0.3653698905716543,DeepSeek-V4-Flash-0731/hidden/behind/B6,DeepSeek-V4-Flash-0731/hidden/high/B6
B1-hidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,True,True,,0.05714285714285714,0,[0],210,198,12,276,1.0,1.0,1.0,1.0,0.9809523809523809,4943,2203,2.2437585111211984,0.6361754951325496,DeepSeek-V4-Flash-0731/hidden/ahead/B1,DeepSeek-V4-Flash-0731/hidden/off/B1
B2-hidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,213,True,True,,0.047619047619047616,0,[0],210,200,10,276,1.0,1.0,1.0,1.0,0.9952380952380953,5252,2355,2.230148619957537,0.6576093120698605,DeepSeek-V4-Flash-0731/hidden/ahead/B2,DeepSeek-V4-Flash-0731/hidden/off/B2
B3-hidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,313,True,True,,0.06666666666666667,0,[0],210,196,14,276,1.0,1.0,1.0,0.9963768115942029,0.9857142857142858,5903,3178,1.8574575204531152,0.40502390243012576,DeepSeek-V4-Flash-0731/hidden/ahead/B3,DeepSeek-V4-Flash-0731/hidden/off/B3
B4-hidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,413,True,True,,0.1,0,[0],210,189,21,276,1.0,1.0,1.0,1.0,0.9904761904761905,5498,3296,1.6680825242718447,0.23673779572787912,DeepSeek-V4-Flash-0731/hidden/ahead/B4,DeepSeek-V4-Flash-0731/hidden/off/B4
B5-hidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,513,True,False,aborted 47/210 = 22.4% > 10% (pre-registered rule),0.22380952380952382,0,[0],210,163,47,276,1.0,1.0,1.0,1.0,0.9952380952380953,5270,3597,1.4651098137336669,0.2949012548735228,DeepSeek-V4-Flash-0731/hidden/ahead/B5,DeepSeek-V4-Flash-0731/hidden/off/B5
B6-hidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,613,True,False,aborted 47/210 = 22.4% > 10% (pre-registered rule),0.22380952380952382,0,[0],210,163,47,276,1.0,1.0,1.0,1.0,1.0,5799,4186,1.3853320592451028,0.27904071213613163,DeepSeek-V4-Flash-0731/hidden/ahead/B6,DeepSeek-V4-Flash-0731/hidden/off/B6
B1-hidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,114,True,True,,0.02857142857142857,0,[0],210,204,6,276,1.0,1.0,1.0,1.0,0.9904761904761905,6098,2733,2.2312477131357484,0.35801466191996817,DeepSeek-V4-Flash-0731/hidden/behind/B1,DeepSeek-V4-Flash-0731/hidden/off/B1
B2-hidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,214,True,True,,0.004761904761904762,0,[0],210,209,1,276,1.0,1.0,1.0,1.0,0.9904761904761905,5807,2643,2.197124479757851,0.576409516755272,DeepSeek-V4-Flash-0731/hidden/behind/B2,DeepSeek-V4-Flash-0731/hidden/off/B2
B3-hidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,314,True,False,aborted 32/210 = 15.2% > 10% (pre-registered rule),0.1523809523809524,0,[0],210,178,32,276,1.0,1.0,1.0,1.0,1.0,5821,3510,1.6584045584045584,0.18014889374866894,DeepSeek-V4-Flash-0731/hidden/behind/B3,DeepSeek-V4-Flash-0731/hidden/off/B3
B4-hidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,414,True,True,,0.04285714285714286,0,[0],210,201,9,276,1.0,1.0,1.0,1.0,0.9904761904761905,5787,3575,1.6187412587412588,0.25692196081773716,DeepSeek-V4-Flash-0731/hidden/behind/B4,DeepSeek-V4-Flash-0731/hidden/off/B4
B5-hidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,514,True,False,aborted 68/210 = 32.4% > 10% (pre-registered rule),0.3238095238095238,0,[0],210,142,68,276,1.0,1.0,1.0,1.0,1.0,4915,3356,1.4645411203814065,0.24037948151621696,DeepSeek-V4-Flash-0731/hidden/behind/B5,DeepSeek-V4-Flash-0731/hidden/off/B5
B6-hidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,614,True,False,aborted 73/210 = 34.8% > 10% (pre-registered rule),0.3476190476190476,0,[0],210,137,73,276,1.0,1.0,1.0,1.0,1.0,4723,3393,1.3919834954317714,0.16485414389071035,DeepSeek-V4-Flash-0731/hidden/behind/B6,DeepSeek-V4-Flash-0731/hidden/off/B6
B1-permitted-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,108,True,True,,0.014285714285714285,0,[0],210,207,3,276,0.9714285714285714,0.9714285714285714,0.9710144927536232,0.9746376811594203,0.9714285714285714,4630,3352,1.3812649164677804,0.6049807574787679,DeepSeek-V4-Flash-0731/permitted/behind/B1,DeepSeek-V4-Flash-0731/permitted/high/B1
B2-permitted-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,208,True,True,,0.0,0,[0],210,210,0,276,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9565217391304348,0.9714285714285714,4390,3295,1.3323216995447649,0.6866759495362889,DeepSeek-V4-Flash-0731/permitted/behind/B2,DeepSeek-V4-Flash-0731/permitted/high/B2
B3-permitted-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,308,True,True,,0.004761904761904762,0,[0],210,209,1,276,0.9904761904761905,0.9904761904761905,0.9904306220095693,0.9891304347826086,0.9904761904761905,5422,3715,1.4594885598923284,0.43327414141804726,DeepSeek-V4-Flash-0731/permitted/behind/B3,DeepSeek-V4-Flash-0731/permitted/high/B3
B4-permitted-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,408,True,True,,0.004761904761904762,0,[0],210,209,1,276,0.9952380952380953,0.9952380952380953,0.9952153110047847,0.9963768115942029,0.9952380952380953,5370,3637,1.4764916139675557,0.4664542239906071,DeepSeek-V4-Flash-0731/permitted/behind/B4,DeepSeek-V4-Flash-0731/permitted/high/B4
B5-permitted-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p3,508,True,True,,0.004761904761904762,0,[0],210,209,1,276,0.9904761904761905,0.9904761904761905,0.9904306220095693,0.9891304347826086,0.9904761904761905,5630,3915,1.438058748403576,0.5769396645492412,DeepSeek-V4-Flash-0731/permitted/behind/B5,DeepSeek-V4-Flash-0731/permitted/high/B5
B6-permitted-high-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p3,608,True,True,,0.004761904761904762,0,[0],210,209,1,276,1.0,1.0,1.0,0.9963768115942029,1.0,5542,3773,1.4688576729393057,0.5544078726384137,DeepSeek-V4-Flash-0731/permitted/behind/B6,DeepSeek-V4-Flash-0731/permitted/high/B6
B1-permitted-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,105,True,True,,0.01904761904761905,0,[0],210,206,4,276,1.0,1.0,1.0,1.0,0.9809523809523809,5709,2331,2.449163449163449,0.6784384089567536,DeepSeek-V4-Flash-0731/permitted/ahead/B1,DeepSeek-V4-Flash-0731/permitted/off/B1
B2-permitted-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,205,True,True,,0.03333333333333333,0,[0],210,203,7,276,1.0,1.0,1.0,1.0,0.9904761904761905,5956,2467,2.41426834211593,0.645721625287392,DeepSeek-V4-Flash-0731/permitted/ahead/B2,DeepSeek-V4-Flash-0731/permitted/off/B2
B3-permitted-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,305,True,True,,0.09047619047619047,0,[0],210,191,19,276,1.0,1.0,1.0,1.0,1.0,6389,3885,1.6445302445302445,0.30343946857499005,DeepSeek-V4-Flash-0731/permitted/ahead/B3,DeepSeek-V4-Flash-0731/permitted/off/B3
B4-permitted-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,405,True,True,,0.08571428571428572,0,[0],210,192,18,276,1.0,1.0,1.0,1.0,0.9952380952380953,6836,4418,1.5473064735174287,0.4801218613088595,DeepSeek-V4-Flash-0731/permitted/ahead/B4,DeepSeek-V4-Flash-0731/permitted/off/B4
B5-permitted-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,505,True,False,aborted 53/210 = 25.2% > 10% (pre-registered rule),0.2523809523809524,0,[0],210,157,53,276,1.0,1.0,1.0,0.9963768115942029,0.9809523809523809,5534,3641,1.519912112057127,0.30369317554449976,DeepSeek-V4-Flash-0731/permitted/ahead/B5,DeepSeek-V4-Flash-0731/permitted/off/B5
B6-permitted-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,605,True,False,aborted 57/210 = 27.1% > 10% (pre-registered rule),0.2714285714285714,0,[0],210,153,57,276,1.0,1.0,1.0,0.9963768115942029,1.0,4911,3317,1.4805547181187821,0.2689168608746541,DeepSeek-V4-Flash-0731/permitted/ahead/B6,DeepSeek-V4-Flash-0731/permitted/off/B6
B1-permitted-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,106,True,True,,0.014285714285714285,0,[0],210,207,3,276,1.0,1.0,1.0,1.0,0.9619047619047619,6110,2680,2.279850746268657,0.49682948603822863,DeepSeek-V4-Flash-0731/permitted/behind/B1,DeepSeek-V4-Flash-0731/permitted/off/B1
B2-permitted-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,206,True,True,,0.0,0,[0],210,210,0,276,1.0,1.0,1.0,1.0,0.9857142857142858,5683,2701,2.1040355423917068,0.7307749466258524,DeepSeek-V4-Flash-0731/permitted/behind/B2,DeepSeek-V4-Flash-0731/permitted/off/B2
B3-permitted-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,306,True,True,,0.09523809523809523,0,[0],210,190,20,276,1.0,1.0,1.0,0.9963768115942029,1.0,6803,4466,1.5232870577698163,0.26594083197752943,DeepSeek-V4-Flash-0731/permitted/behind/B3,DeepSeek-V4-Flash-0731/permitted/off/B3
